model,model_label,seed,class_id,class,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
yolo11m,YOLO11m,20260908,5,Normal,519,517,18,2,0.9663551401869159,0.9961464354527938,0.9810246679316889,0.9882273192058723,0.9754868410610342,0.003853564547206201,0.03364485981308407,0.18
yolo11m,YOLO11m,20260909,0,Deformed,20,13,14,7,0.48148148148148145,0.65,0.553191489361702,0.5314764992982814,0.5167566207170167,0.35,0.5185185185185186,0.14
yolo11m,YOLO11m,20260909,1,Displaced,20,10,13,10,0.43478260869565216,0.5,0.46511627906976744,0.3719220005624255,0.3508094178487803,0.5,0.5652173913043479,0.13
yolo11m,YOLO11m,20260909,2,Fractured,20,10,12,10,0.45454545454545453,0.5,0.47619047619047616,0.5515558612390781,0.5351300740491596,0.5,0.5454545454545454,0.12
yolo11m,YOLO11m,20260909,3,Inverted,20,15,13,5,0.5357142857142857,0.75,0.6250000000000001,0.7362042655878491,0.6932455866554398,0.25,0.4642857142857143,0.13
yolo11m,YOLO11m,20260909,4,Missing,20,20,12,0,0.625,1.0,0.7692307692307693,1.0,0.9170307909911871,0.0,0.375,0.12
yolo11m,YOLO11m,20260909,5,Normal,519,516,28,3,0.9485294117647058,0.9942196531791907,0.9708372530573847,0.9893685148401191,0.9807906753516384,0.005780346820809301,0.05147058823529416,0.28
yolo11m,YOLO11m,20260910,0,Deformed,20,14,26,6,0.35,0.7,0.4666666666666667,0.642818693301215,0.637913059846705,0.30000000000000004,0.65,0.26
yolo11m,YOLO11m,20260910,1,Displaced,20,11,5,9,0.6875,0.55,0.6111111111111112,0.580429597581607,0.5517015836037386,0.44999999999999996,0.3125,0.05
yolo11m,YOLO11m,20260910,2,Fractured,20,17,16,3,0.5151515151515151,0.85,0.6415094339622641,0.7187329383390828,0.6893542297906856,0.15000000000000002,0.48484848484848486,0.16
yolo11m,YOLO11m,20260910,3,Inverted,20,14,6,6,0.7,0.7,0.7,0.7487310426486847,0.7115848494071746,0.30000000000000004,0.30000000000000004,0.06
yolo11m,YOLO11m,20260910,4,Missing,20,20,5,0,0.8,1.0,0.888888888888889,0.9777677767776776,0.8793684942023612,0.0,0.19999999999999996,0.05
yolo11m,YOLO11m,20260910,5,Normal,519,518,17,1,0.9682242990654205,0.9980732177263969,0.98292220113852,0.9892378223686208,0.9808907013515877,0.0019267822736031004,0.03177570093457949,0.17
yolov10m,YOLOv10m,20260908,0,Deformed,20,14,24,6,0.3684210526315789,0.7,0.48275862068965514,0.5063943840633467,0.492687863979057,0.30000000000000004,0.631578947368421,0.24
yolov10m,YOLOv10m,20260908,1,Displaced,20,14,22,6,0.3888888888888889,0.7,0.5,0.6064104309590624,0.5652794691233831,0.30000000000000004,0.6111111111111112,0.22
yolov10m,YOLOv10m,20260908,2,Fractured,20,12,19,8,0.3870967741935484,0.6,0.47058823529411764,0.46937744358951733,0.43606044378774345,0.4,0.6129032258064516,0.19
yolov10m,YOLOv10m,20260908,3,Inverted,20,14,23,6,0.3783783783783784,0.7,0.4912280701754387,0.6331368796728282,0.6201146348041436,0.30000000000000004,0.6216216216216216,0.23
yolov10m,YOLOv10m,20260908,4,Missing,20,20,6,0,0.7692307692307693,1.0,0.8695652173913044,0.9858740695906789,0.9237347518680583,0.0,0.23076923076923073,0.06
yolov10m,YOLOv10m,20260908,5,Normal,519,514,27,5,0.9500924214417745,0.9903660886319846,0.969811320754717,0.9859516746142238,0.9800632629856697,0.009633911368015391,0.049907578558225474,0.27
yolov10m,YOLOv10m,20260909,0,Deformed,20,13,25,7,0.34210526315789475,0.65,0.4482758620689655,0.4802968873004193,0.4727428284524624,0.35,0.6578947368421053,0.25
yolov10m,YOLOv10m,20260909,1,Displaced,20,14,31,6,0.3111111111111111,0.7,0.43076923076923074,0.34360324997464486,0.3225564526247523,0.30000000000000004,0.6888888888888889,0.31
yolov10m,YOLOv10m,20260909,2,Fractured,20,13,18,7,0.41935483870967744,0.65,0.5098039215686274,0.4231886503099707,0.4062452473801744,0.35,0.5806451612903225,0.18
yolov10m,YOLOv10m,20260909,3,Inverted,20,12,21,8,0.36363636363636365,0.6,0.4528301886792453,0.3997100547834472,0.38751134812148197,0.4,0.6363636363636364,0.21
yolov10m,YOLOv10m,20260909,4,Missing,20,19,13,1,0.59375,0.95,0.7307692307692308,0.7627026713938188,0.6953627248286832,0.050000000000000044,0.40625,0.13
yolov10m,YOLOv10m,20260909,5,Normal,519,517,64,2,0.8898450946643718,0.9961464354527938,0.9400000000000001,0.9879018702685363,0.9746156257259745,0.003853564547206201,0.11015490533562822,0.64
yolov10m,YOLOv10m,20260910,0,Deformed,20,8,15,12,0.34782608695652173,0.4,0.37209302325581395,0.40355662542183185,0.3895813966943362,0.6,0.6521739130434783,0.15
yolov10m,YOLOv10m,20260910,1,Displaced,20,11,28,9,0.28205128205128205,0.55,0.3728813559322034,0.3756028433739512,0.35336490353634276,0.44999999999999996,0.717948717948718,0.28
yolov10m,YOLOv10m,20260910,2,Fractured,20,17,45,3,0.27419354838709675,0.85,0.4146341463414634,0.44850021015449026,0.39644414625466473,0.15000000000000002,0.7258064516129032,0.45
yolov10m,YOLOv10m,20260910,3,Inverted,20,12,37,8,0.24489795918367346,0.6,0.34782608695652173,0.45475702190641076,0.4422004836347778,0.4,0.7551020408163265,0.37
yolov10m,YOLOv10m,20260910,4,Missing,20,16,9,4,0.64,0.8,0.7111111111111111,0.8115176610396825,0.7529694103584972,0.19999999999999996,0.36,0.09
yolov10m,YOLOv10m,20260910,5,Normal,519,514,33,5,0.9396709323583181,0.9903660886319846,0.9643527204502814,0.9869691421283494,0.975138527106244,0.009633911368015391,0.06032906764168189,0.33
